"Infrastructure
ID",WBS,Category,Subcategory,Project Name,Identified Project funding,Project Description,Project Priority,Project Cost Estimate,Funding Status (%),Funding Phase,Funding Needed,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,"Bond Tranche/
Funding Tier"
002,1.3.2,Roadway,Roadway Resurfacing,Hampshire Walk,,Final course of roadway construction from Stone Road to Hempstead Way.,High,"$33,000",0%,,"$33,000",SW,,,,SW,1.000,"$33,000",,,,,,,,,,,,11,,,1.000,"$33,000",P,,,,,None,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
R12,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 12,,Resurfacing projects in Council District 12.,Medium,"$1,987,500",0%,,"$1,987,500",SE,,,SE,,1.000,"$1,987,500",,,,,,,,,,,,,12,,1.000,"$1,987,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,4
A10,1.3.4,Roadway,Roadway Resurfacing,East Cleveland Avenue,,Resurfacing from Metropolitan Parkway to Springdale Road,Medium,"$301,600",0%,,"$301,600",SW,,,,SW,1.000,"$301,600",,,,,,,,,,,,,12,,1.000,"$301,600",X,,,,,Perkerson ,,,,,,,,,,,East Cleveland Avenue,,,,,,,Medium Roadway Resurfacing,5
R12,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 12,,Resurfacing projects in Council District 12.,Medium,"$1,987,500",0%,,"$1,987,500",SE,,,SE,,1.000,"$1,987,500",,,,,,,,,,,,,12,,1.000,"$1,987,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,5
C28,1.3.4,Roadway,Roadway Resurfacing,Dill Avenue,,Resurfacing from Murphy Avenue to Metropolitan Parkway,Medium,"$359,000",0%,,"$359,000",SW,,,,SW,1.000,"$359,000",,,,,,,,,,,,,12,,1.000,"$359,000",X,,,,,Capitol View,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
I27,1.3.4,Roadway,Roadway Resurfacing,Empire Way,,Resurfacing from Empire Boulevard to end of road,Medium,"$21,200",0%,,"$21,200",SE,,,SE,,1.000,"$21,200",,,,,,,,,,,,,12,,1.000,"$21,200",Z,,,,,Blair Villa/Poole Creek,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
C49,1.3.4,Roadway,Roadway Resurfacing,Lakewood Way,,Resurfacing from Pryor Road to Lakewood Avenue,Medium,"$119,700",0%,,"$119,700",SE,,,SE,,1.000,"$119,700",,,,,,,,,,,,,12,,1.000,"$119,700",Y,,,,,Lakewood Heights,,,,,,,,,,,,,,Lakewood Way,,,,Medium Roadway Resurfacing,6
C50,1.3.4,Roadway,Roadway Resurfacing,Langston Avenue,,Resurfacing from Sylvan Road to Murphy Avenue,Medium,"$299,100",0%,,"$299,100",SW,,,,SW,1.000,"$299,100",,,,,,,,,,,,,12,,1.000,"$299,100",X,,,,,Sylvan Hills,,,,,,,,,,,,,,Langston Avenue,,,,Medium Roadway Resurfacing,6
R12,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 12,,Resurfacing projects in Council District 12.,Low,"$1,987,500",0%,,"$1,987,500",SE,,,SE,,1.000,"$1,987,500",,,,,,,,,,,,,12,,1.000,"$1,987,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,6
I40,1.3.4,Roadway,Roadway Resurfacing,Wilson Road,,Resurfacing from Southside Industrial Parkway to Dead End,Medium,"$45,500",0%,,"$45,500",SE,,,SE,,1.000,"$45,500",,,,,,,,,,,,,12,,1.000,"$45,500",Z,,,,,Blair Villa/Poole Creek,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
R12,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 12,,Resurfacing projects in Council District 12.,Low,"$1,987,500",0%,,"$1,987,500",SE,,,SE,,1.000,"$1,987,500",,,,,,,,,,,,,12,,1.000,"$1,987,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,7
I13,1.3.4,Roadway,Roadway Resurfacing,Hamilton Boulevard,,Resurfacing from Browns Mill Road to Browns Mill Road,Low,"$365,200",0%,,"$365,200",SE,,,SE,,1.000,"$365,200",,,,,,,,,,,,,12,,1.000,"$365,200",Z,,,,,Glenrose Heights,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
C44,1.3.4,Roadway,Roadway Resurfacing,Hutchens Road,,Resurfacing from Forrest Park Road to Jonesboro Road,Low,"$362,000",0%,,"$362,000",SE,,,SE,,1.000,"$362,000",,,,,,,,,,,,,12,,1.000,"$362,000",Z,,,,,South River Gardens,,,,,,,,,,,,,,Hutchens Road,,,,Low Roadway Resurfacing,8
R12,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 12,,Resurfacing projects in Council District 12.,low,"$1,987,500",0%,,"$1,987,500",SE,,,SE,,1.000,"$1,987,500",,,,,,,,,,,,,12,,1.000,"$1,987,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,8
C74,1.3.4,Roadway,Roadway Resurfacing,Ruby Harper Boulevard,,Resurfacing from Browns Mill Road to City Limits,Low,"$274,240",0%,,"$274,240",SE,,,SE,,1.000,"$274,240",,,,,,,,,,,,,12,,1.000,"$274,240",Z,,,,,Blair Villa/Poole Creek,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
I21,1.3.4,Roadway,Roadway Resurfacing,Southside Industrial Ct,,Resurfacing from Southside Industrial Pkwy to cul-de-sac,Low,"$82,900",0%,,"$82,900",SE,,,SE,,1.000,"$82,900",,,,,,,,,,,,,12,,1.000,"$82,900",Z,,,,,Blair Villa/Poole Creek,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
I22,1.3.4,Roadway,Roadway Resurfacing,Southside Industrial Way,,Resurfacing from Southside Industrial Pkwy to Dead End,Low,"$55,800",0%,,"$55,800",SE,,,SE,,1.000,"$55,800",,,,,,,,,,,,,12,,1.000,"$55,800",Z,,,,,Blair Villa/Poole Creek,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
C77,1.3.4,Roadway,Roadway Resurfacing,Sylvan Road,,Resurfacing from Murphy Avenue to City Limits,Low,"$682,120",0%,,"$682,120",SW,,,,SW,1.000,"$682,120",,,,,,,,,,,,,12,,1.000,"$682,120",X,S,,,,Sylvan Hills,Capitol View,Oakland City,,,,,,,,,,,,Sylvan Road,,,,Low Roadway Resurfacing,8
I24,1.3.4,Roadway,Roadway Resurfacing,Zip Industrial Boulevard,,Resurfacing from Browns Mill Road to Southside Ind Pkwy,Low,"$239,200",0%,,"$239,200",SE,,,SE,,1.000,"$239,200",,,,,,,,,,,,,12,,1.000,"$239,200",Z,,,,,Blair Villa/Poole Creek,,,,,,,,,,,,,,Zip Industrial Boulevard,,,,Low Roadway Resurfacing,8
C11,1.3.4,Roadway,Roadway Resurfacing,Beecher Street,,Resurfacing from Donnelly Avenue to Ferris Street,Medium,"$456,300",0%,,"$456,300",SW,,,,SW,1.000,"$456,300",,,,,4,,,,,,10,11,,,0.333,"$151,948",S,T,I,,,Bush Mountain ,Cascade Avenue/Road,West End,Westview,Westwood Terrace,,,,,,,,,,Beecher Street,,,,Medium Roadway Resurfacing,6
C37,1.3.4,Roadway,Roadway Resurfacing,Hapeville Road,,Resurfacing from Cleveland Avenue to Oak Drive,High,"$183,500",0%,,"$183,500",SE,,,SE,,1.000,"$183,500",,,,,,,,,,,,,12,,1.000,"$183,500",Z,,,,,Glenrose Heights,,,,,,,,,,,,,,Hapeville Road SW,,,,High Roadway Resurfacing,3
A13,1.3.4,Roadway,Roadway Resurfacing,Harris Street,,Resurfacing from Centennial Olympic Park Drive to Piedmont Avenue.,High,"$223,400",0%,,"$223,400","NE, NW",NE,NW,,,0.500,"$111,700",,,2,,,,,,,,,,,,1.000,"$223,400",M,,,,,Downtown,,,,,,,,,,,Harris Street,,,,,,,High Roadway Resurfacing,3
001,1.3.2,Roadway,Roadway Resurfacing,Haven Oaks Court,,Final course of roadway construction from Peachtree-Dunwoody Road to cul-de-sac.,High,"$36,200",0%,,"$36,200",NE,NE,,,,1.000,"$36,200",,,,,,,,7,,,,,,,1.000,"$36,200",B,,,,,North Buckhead,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
003,1.3.2,Roadway,Roadway Resurfacing,Hempstead Way,,Final course of roadway construction from cul-de-sac to cul-de-sac,High,"$44,120",0%,,"$44,120",SW,,,,SW,1.000,"$44,120",,,,,,,,,,,,11,,,1.000,"$44,120",P,,,,,None,,,,,,,,,,,,,,,,,,High Roadway Construction,1
C39,1.3.4,Roadway,Roadway Resurfacing,Hightower Road,,Resurfacing from Hollywood Road to James Jackson Parkway,High,"$384,000",0%,,"$384,000",NW,,NW,,,1.000,"$384,000",,,,,,,,,,9,,,,,1.000,"$384,000",G,,,,,Carey Park,Almond Park,,,,,,,,,,,,,,,,,High Roadway Resurfacing,3
I6,1.3.4,Roadway,Roadway Resurfacing,Hills Avenue,,Resurfacing from Chattahoochee Avenue to Defoors Ferry Road,High,"$143,700",0%,,"$143,700",NW,,NW,,,1.000,"$143,700",,,,,,,,,,9,,,,,1.000,"$143,700",D,,,,,Underwood Hills,,,,,,,,,,,,,,Hills Avenue,,,,High Roadway Resurfacing,3
I7,1.3.4,Roadway,Roadway Resurfacing,Hollow Tree Lane,,Resurfacing from Empire Boulevard to end of road,High,"$20,600",0%,,"$20,600",SE,,,SE,,1.000,"$20,600",,,,,,,,,,,,,12,,1.000,"$20,600",Z,,,,,Glenrose Heights,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,3
C46,1.3.4,Roadway,Roadway Resurfacing,Jett Road,,Resurfacing from Powers Ferry Road to City Limits,High,"$161,600",0%,,"$161,600",NE,NE,,,,1.000,"$161,600",,,,,,,,,8,,,,,,1.000,"$161,600",A,,,,,Chastain Park,,,,,,,,,,,,,,Jett Road,,,,High Roadway Resurfacing,3
815,1.3.2,Roadway,Roadway Resurfacing,Kelso Drive (Extension),,Final course of roadway construction from 950 feet south of Peyton Road to Patricia Circle.,High,"$26,000",0%,,"$26,000",SW,,,,SW,1.000,"$26,000",,,,,,,,,,,10,,,,1.000,"$26,000",I,,,,,Florida Heights,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
#REF!,1.3.2,Roadway,Roadway Resurfacing,McMurray Drive,LMIG 2013,Final course of roadway construction from Lovell Drive to Esplanade Circle.,High,"$14,220",100%,,$0,SW,,,,SW,1.000,"$14,220",,,,,,,,,,,,11,,,1.000,$0,R,,,,,Southwest,,,,,,,,,,,,,,,,,,High Roadway Construction,1
001,1.3.2,Roadway,Roadway Resurfacing,Landing North Court,,Final course of roadway construction from Fairburn Road to cul-de-sac.,High,"$13,700",0%,,"$13,700",SW,,,,SW,1.000,"$13,700",,,,,,,,,,,,11,,,1.000,"$13,700",P,,,,,Ben Hill Pines,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
002,1.3.2,Roadway,Roadway Resurfacing,Landings North Drive,,Final course of roadway construction from Fairburn Road to cul-de-sac.,High,"$41,000",0%,,"$41,000",SW,,,,SW,1.000,"$41,000",,,,,,,,,,,,11,,,1.000,"$41,000",P,,,,,Ben Hill Pines,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
003,1.3.2,Roadway,Roadway Resurfacing,Landings South Drive,,Final course of roadway construction from Landings North Drive to cul-de-sac.,High,"$38,300",0%,,"$38,300",SW,,,,SW,1.000,"$38,300",,,,,,,,,,,,11,,,1.000,"$38,300",P,,,,,Ben Hill Pines,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
C51,1.3.4,Roadway,Roadway Resurfacing,Lawton Street,,Resurfacing from Fair Street to Donnally Avenue,High,"$367,000",0%,,"$367,000",SW,,,,SW,1.000,"$367,000",,,,,4,,,,,,,,,,1.000,"$367,000",T,,,,,West End,Harris Chiles,Ashview Heights,,,,,,,,,,,,Lawton Street,,,,High Roadway Resurfacing,3
004,1.3.2,Roadway,Roadway Resurfacing,Liverpool Way,,Final course of roadway construction from Portsmouth Way to cul-de-sac.,High,"$8,600",0%,,"$8,600",SW,,,,SW,1.000,"$8,600",,,,,,,,,,,,11,,,1.000,"$8,600",P,,,,,None,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
002,1.3.2,Roadway,Roadway Resurfacing,Lovette Lane,,Final course of roadway construction from Wieuca Road to cul-de-sac.,High,"$23,300",0%,,"$23,300",NE,NE,,,,1.000,"$23,300",,,,,,,,7,,,,,,,1.000,"$23,300",B,,,,,North Buckhead,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
R11,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 11,,Resurfacing projects in Council District 11.,Medium,"$2,325,000",0%,,"$2,325,000",SW,,,,SW,1.000,"$2,325,000",,,,,,,,,,,,11,,,1.000,"$2,325,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,3
001,1.3.2,Roadway,Roadway Resurfacing,Meador Avenue,,Final course of roadway construction from Swan Drive to Schell Road.,High,"$18,200",0%,,"$18,200",SE,,,SE,,1.000,"$18,200",,,,,,,,,,,,,12,,1.000,"$18,200",Z,,,,,Swallow Circle/Baywood,Lakewood,,,,,,,,,,,,,,,,,High Roadway Resurfacing,1
R11,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 11,,Resurfacing projects in Council District 11.,Medium,"$2,325,000",0%,,"$2,325,000",SW,,,,SW,1.000,"$2,325,000",,,,,,,,,,,,11,,,1.000,"$2,325,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,4
R11,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 11,,Resurfacing projects in Council District 11.,Medium,"$2,325,000",0%,,"$2,325,000",SW,,,,SW,1.000,"$2,325,000",,,,,,,,,,,,11,,,1.000,"$2,325,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,5
C36,1.3.4,Roadway,Roadway Resurfacing,Greenbriar Parkway,,Resurfacing from Campbellton Road to Barge Road,Medium,"$837,700",0%,,"$837,700",SW,,,,SW,1.000,"$837,700",,,,,,,,,,,,11,,,1.000,"$837,700",R,,,,,Southwest,Greenbriar,,,,,,,,,,,,,Greenbriar Parkway,,,,Medium Roadway Resurfacing,6
C38,1.3.4,Roadway,Roadway Resurfacing,Harbin Road,,Resurfacing from Cascade Road to Campbellton Road,Medium,"$389,000",0%,,"$389,000",SW,,,,SW,1.000,"$389,000",,,,,,,,,,,,11,,,1.000,"$389,000",R,I,,,,Southwest,Laurens Valley,Cascade Heights,,,,,,,,,,,,Harbin Road,,,,Medium Roadway Resurfacing,6
R11,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 11,,Resurfacing projects in Council District 11.,low,"$2,325,000",0%,,"$2,325,000",SW,,,,SW,1.000,"$2,325,000",,,,,,,,,,,,11,,,1.000,"$2,325,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,lo Roadway Resurfacing,6
C63,1.3.4,Roadway,Roadway Resurfacing,North Camp Creek Pkwy,,Resurfacing from Stone Rd to Stone - Hogan Rd Connector,Medium,"$90,000",0%,,"$90,000",SW,,,,SW,1.000,"$90,000",,,,,,,,,,,,11,,,1.000,"$90,000",P,,,,,None,,,,,,,,,,,,,,North Camp Creek Parkway,,,,Medium Roadway Resurfacing,6
R11,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 11,,Resurfacing projects in Council District 11.,low,"$2,325,000",0%,,"$2,325,000",SW,,,,SW,1.000,"$2,325,000",,,,,,,,,,,,11,,,1.000,"$2,325,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,7
C17,1.3.4,Roadway,Roadway Resurfacing,Butner Road,,Resurfacing from Tell Road to Campbellton Road,Low,"$388,900",0%,,"$388,900",SW,,,,SW,1.000,"$388,900",,,,,,,,,,,,11,,,1.000,"$388,900",P,,,,,Butner/Tell,Fairburn,,,,,,,,,,,,,Butner Road,,,,Low Roadway Resurfacing,8
C25,1.3.4,Roadway,Roadway Resurfacing,Continental Colony Pkwy,,Resurfacing from Greenbriar Parkway to Hogan Road,Low,"$275,200",0%,,"$275,200",SW,,,,SW,1.000,"$275,200",,,,,,,,,,,,11,,,1.000,"$275,200",R,,,,,Greenbriar,,,,,,,,,,,,,,Continental Colony Parkway,,,,Low Roadway Resurfacing,8
C26,1.3.4,Roadway,Roadway Resurfacing,County Line Road,,Resurfacing from City Limits to City Limits,Low,"$123,700",0%,,"$123,700",SW,,,,SW,1.000,"$123,700",,,,,,,,,,,,11,,,1.000,"$123,700",P,,,,,Niskey Lake,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
C27,1.3.4,Roadway,Roadway Resurfacing,County Line Road,,Resurfacing from Tell Road to City Limits,Low,"$556,500",0%,,"$556,500",SW,,,,SW,1.000,"$556,500",,,,,,,,,,,,11,,,1.000,"$556,500",P,,,,,Wildwood Forest,Fairway Acres,Elmco Estates,Arlington Estates,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
R11,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 11,,Resurfacing projects in Council District 11.,low,"$2,325,000",0%,,"$2,325,000",SW,,,,SW,1.000,"$2,325,000",,,,,,,,,,,,11,,,1.000,"$2,325,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,8
C62,1.3.4,Roadway,Roadway Resurfacing,Niskey Lake Road,,Resurfacing from Campbellton Road to County Line Road,Low,"$295,600",0%,,"$295,600",SW,,,,SW,1.000,"$295,600",,,,,,,,,,,,11,,,1.000,"$295,600",P,,,,,Niskey Cove,,,,,,,,,,,,,,Niskey Lake Road,,,,Low Roadway Resurfacing,8
R1,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 1,,Resurfacing projects in Council District 1.,High,"$1,912,500",0%,,"$1,912,500",SE,,,SE,,1.000,"$1,912,500",,1,,,,,,,,,,,,,1.000,"$1,912,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R1,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 1,,Resurfacing projects in Council District 1.,High,"$1,912,500",0%,,"$1,912,500",SE,,,SE,,1.000,"$1,912,500",,1,,,,,,,,,,,,,1.000,"$1,912,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R10,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,,Resurfacing projects in Council District 10.,High,"$1,262,500",0%,,"$1,262,500","NW, SW",,NW,,SW,0.500,"$631,250",,,,,,,,,,,10,,,,1.000,"$1,262,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R10,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,,Resurfacing projects in Council District 10.,High,"$1,262,500",0%,,"$1,262,500","NW, SW",,NW,,SW,0.500,"$631,250",,,,,,,,,,,10,,,,1.000,"$1,262,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R11,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 11,,Resurfacing projects in Council District 11.,High,"$2,325,000",0%,,"$2,325,000",SW,,,,SW,1.000,"$2,325,000",,,,,,,,,,,,11,,,1.000,"$2,325,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R11,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 11,,Resurfacing projects in Council District 11.,High,"$2,325,000",0%,,"$2,325,000",SW,,,,SW,1.000,"$2,325,000",,,,,,,,,,,,11,,,1.000,"$2,325,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R12,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 12,,Resurfacing projects in Council District 12.,High,"$1,987,500",0%,,"$1,987,500",SE,,,SE,,1.000,"$1,987,500",,,,,,,,,,,,,12,,1.000,"$1,987,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R12,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 12,,Resurfacing projects in Council District 12.,High,"$1,987,500",0%,,"$1,987,500",SE,,,SE,,1.000,"$1,987,500",,,,,,,,,,,,,12,,1.000,"$1,987,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R10,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,,Resurfacing projects in Council District 10.,Medium,"$1,262,500",0%,,"$1,262,500","NW, SW",,NW,,SW,0.500,"$631,250",,,,,,,,,,,10,,,,1.000,"$1,262,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,3
R10,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,,Resurfacing projects in Council District 10.,Medium,"$1,262,500",0%,,"$1,262,500","NW, SW",,NW,,SW,0.500,"$631,250",,,,,,,,,,,10,,,,1.000,"$1,262,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,4
R10,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,,Resurfacing projects in Council District 10.,Medium,"$1,262,500",0%,,"$1,262,500","NW, SW",,NW,,SW,0.500,"$631,250",,,,,,,,,,,10,,,,1.000,"$1,262,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,5
C15,1.3.4,Roadway,Roadway Resurfacing,Boulder Park Drive,,Resurfacing from Fairburn Road to Mendell Drive,Medium,"$758,000",0%,,"$758,000",SW,,,,SW,1.000,"$758,000",,,,,,,,,,,10,,,,1.000,"$758,000",H,,,,,Boulder Park,Wilson Mill Meadows,Ridgecrest Forest,Wildwood,Fairburn Mays,Fairburn Road/Wisteria Lane,,,,,,,,,Boulder Park Drive,,,,Medium Roadway Resurfacing,6
R10,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,,Resurfacing projects in Council District 10.,low,"$1,262,500",0%,,"$1,262,500","NW, SW",,NW,,SW,0.500,"$631,250",,,,,,,,,,,10,,,,1.000,"$1,262,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,6
R10,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,,Resurfacing projects in Council District 10.,low,"$1,262,500",0%,,"$1,262,500","NW, SW",,NW,,SW,0.500,"$631,250",,,,,,,,,,,10,,,,1.000,"$1,262,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,7
C9,1.3.4,Roadway,Roadway Resurfacing,Bakers Ferry Road,,"Resurfacing from City Limits to Martin L. King, Jr. Drive",Low,"$518,600",0%,,"$518,600",SW,,,,SW,1.000,"$518,600",,,,,,,,,,,10,,,,1.000,"$518,600",H,,,,,Boulder Park,Bakers Ferry,Wilson Mill Meadows,Bakers Hills,Adamsville,,,,,,,,,,Bakers Ferry Road,,,,Low Roadway Resurfacing,8
C23,1.3.4,Roadway,Roadway Resurfacing,Collier Drive,,Resurfacing from Old Gordon Road to Hamilton E. Holmes Drive,Low,"$861,600",0%,,"$861,600",NW,,NW,,,1.000,"$861,600",,,,,,,,,,,10,,,,1.000,"$861,600",I,,,,,Collier Heights,Fairburn Heights,Old Gordon,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
R10,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 10,,Resurfacing projects in Council District 10.,low,"$1,262,500",0%,,"$1,262,500","NW, SW",,NW,,SW,0.500,"$631,250",,,,,,,,,,,10,,,,1.000,"$1,262,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,8
A14,1.3.4,Roadway,Roadway Resurfacing,Howell Mill Road,,Resurfacing from Collier Road to Marietta Street,Low,"$550,500",0%,,"$550,500",NW,,NW,,,1.000,"$550,500",,,,3,,,,,8,9,,,,,0.333,"$183,317",C,D,E,,,Channing Valley,Wildwood,Blandtown,Underwood Hills,Berkeley Park,Home Park,Marietta Street Artery,,,,,Howell Mill Road,,,,,,,Low Roadway Resurfacing,1
C14,1.3.4,Roadway,Roadway Resurfacing,Bohler Road,,Resurfacing from Defoors Ferry Road to West Wesley Road,Medium,"$272,800",0%,,"$272,800",NW,,NW,,,1.000,"$272,800",,,,,,,,,8,9,,,,,0.500,"$136,400",C,D,,,,Underwood Hills,Cross Creek,Hanover West,Wesley Battle,,,,,,,,,,,Bohler Road,,,,Medium Roadway Resurfacing,6
C24,1.3.4,Roadway,Roadway Resurfacing,Collier Road,,Resurfacing from Defoors Hills Road to Peachtree Street,Low,"$861,600",0%,,"$861,600",NW,,NW,,,1.000,"$861,600",,,,,,,,,8,9,,,,,0.500,"$430,800",E,C,,,,Ardmore,Collier Hills North,Collier Hills,Channing Valley,Spring Lake,Wildwood,,,,,,,,,Collier Road,,,,Low Roadway Resurfacing,8
C40,1.3.4,Roadway,Roadway Resurfacing,Hills Avenue,,Resurfacing from Chattahoochee Avenue to Defoors Hill Road,Low,"$127,600",0%,,"$127,600",NW,,NW,,,1.000,"$127,600",,,,,,,,,8,9,,,,,0.500,"$63,800",D,,,,,Underwood Hills,,,,,,,,,,,,,,Hills Avenue,,,,Low Roadway Resurfacing,8
C73,1.3.4,Roadway,Roadway Resurfacing,Ridgewood Road,,Resurfacing from Paces Ferry Road to Moores Mill Road,Low,"$747,940",0%,,"$747,940",NW,,NW,,,1.000,"$747,940",,,,,,,,,8,9,,,,,0.500,"$373,970",C,A,,,,Ridgewood Heights,Paces,,,,,,,,,,,,,Ridgewood Road,,,,Low Roadway Resurfacing,8
R2,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 2,,Resurfacing projects in Council District 2.,High,"$1,425,000",0%,,"$1,425,000","NE, NW",NE,NW,,,0.500,"$712,500",,,2,,,,,,,,,,,,1.000,"$1,425,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
I39,1.3.4,Roadway,Roadway Resurfacing,West Marietta Street,,Resurfacing from Marietta Boulevard to Marietta Road,Medium,"$242,700",0%,,"$242,700",NW,,NW,,,1.000,"$242,700",,,,3,,,,,,9,,,,,0.500,"$121,350",G,K,,,,Knight Park/Howell Station,Rockdale,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
